"FMTNAME","START","LABEL",
"DRDIFDCD","11120000.0","MILK, DRY, RECONSTITUTED, NFS",
"DRDIFDCD","11121100.0","MILK, DRY, RECONSTITUTED, WHOLE",
"DRDIFDCD","11121210.0","MILK, DRY, RECONSTITUTED, LOWFAT",
"DRDIFDCD","11121300.0","MILK, DRY, RECONSTITUTED, NONFAT",
"DRDIFDCD","11122000.0","BUTTERMILK, DRY, RECONSTITUTED",
"DRDIFDCD","11210000.0","MILK, EVAPORATED, NS AS TO FAT CONTENT & DILUTION",
"DRDIFDCD","11210050.0","MILK, EVAPORATED, NS FAT & DILUTION, IN COFFEE/TEA",
"DRDIFDCD","11210100.0","MILK, EVAPORATED, NS AS TO FAT, UNDILUTED",
"DRDIFDCD","11210200.0","MILK, EVAPORATED, NS AS TO FAT, DILUTED",
"DRDIFDCD","11211000.0","MILK, EVAPORATED, WHOLE, NS AS TO DILUTION",
"DRDIFDCD","11211050.0","MILK, EVAPORATED, WHOLE, IN COFFEE/TEA",
"DRDIFDCD","11211100.0","MILK, EVAPORATED, WHOLE, UNDILUTED",
"DRDIFDCD","11211200.0","MILK, EVAPORATED, WHOLE, DILUTED",
"DRDIFDCD","11211400.0","MILK, EVAPORATED, 2% FAT, NS AS TO DILUTION",
"DRDIFDCD","11211500.0","MILK, EVAPORATED, 2% FAT, UNDILUTED",
"DRDIFDCD","11211600.0","MILK, EVAPORATED, 2% FAT, DILUTED",
"DRDIFDCD","11212000.0","MILK, EVAPORATED, SKIM, NS AS TO DILUTION",
"DRDIFDCD","11212050.0","MILK, EVAPORATED, SKIM, IN COFFEE/TEA",
"DRDIFDCD","11212100.0","MILK, EVAPORATED, SKIM, UNDILUTED",
"DRDIFDCD","11212200.0","MILK, EVAPORATED, SKIM, DILUTED",
"DRDIFDCD","11220000.0","MILK, CONDENSED, SWEETENED, NS AS TO DILUTION",
"DRDIFDCD","11220100.0","MILK, CONDENSED, SWEETENED, UNDILUTED",
"DRDIFDCD","11220200.0","MILK, CONDENSED, SWEETENED, DILUTED",
"DRDIFDCD","11310000.0","MILK, IMITATION, FLUID, SOY BASED",
"DRDIFDCD","11320000.0","MILK, SOY, READY-TO-DRINK, NOT BABY",
"DRDIFDCD","11321000.0","MILK, SOY, READY-TO-DRINK, NOT BABY'S, CHOCOLATE",
"DRDIFDCD","11330000.0","MILK, SOY, DRY, RECONSTITUTED, NOT BABY",
"DRDIFDCD","11340000.0","MILK,IMITATION,FLUID,NONSOY,SWEETENED,NOT CHOCOLATE",
"DRDIFDCD","11410000.0","YOGURT, NS AS TO TYPE OF MILK/FLAVOR",
"DRDIFDCD","11411010.0","YOGURT, PLAIN, NS AS TO TYPE OF MILK",
"DRDIFDCD","11411100.0","YOGURT, PLAIN, WHOLE MILK",
"DRDIFDCD","11411200.0","YOGURT, PLAIN, LOWFAT MILK",
"DRDIFDCD","11411300.0","YOGURT, PLAIN, NONFAT MILK",
"DRDIFDCD","11420000.0","YOGURT, VANILLA, LEMON, COFFEE, NS AS TO MILK TYPE",
"DRDIFDCD","11421000.0","YOGURT, VANILLA, LEMON, COFFEE, WHOLE MILK",
"DRDIFDCD","11422000.0","YOGURT, VANILLA, LEMON, COFFEE, LOWFAT MILK",
"DRDIFDCD","11423000.0","YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK",
"DRDIFDCD","11424000.0","YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK, LOW CAL SWEET",
"DRDIFDCD","11425000.0","YOGURT, CHOCOLATE, NS AS TO TYPE OF MILK",
"DRDIFDCD","11426000.0","YOGURT, CHOCOLATE, WHOLE MILK",
"DRDIFDCD","11427000.0","YOGURT, CHOCOLATE, NONFAT MILK",
"DRDIFDCD","11430000.0","YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE",
"DRDIFDCD","11431000.0","YOGURT, FRUIT VARIETY, WHOLE MILK",
"DRDIFDCD","11432000.0","YOGURT, FRUIT VARIETY, LOWFAT MILK",
"DRDIFDCD","11433000.0","YOGURT, FRUIT VARIETY, NONFAT MILK",
"DRDIFDCD","11433500.0","YOGURT, FRUITED, NONFAT MILK, LOW CAL SWEETENER",
"DRDIFDCD","11444000.0","YOGURT, FRUIT & NUTS, NS AS TO TYPE OF MILK",
"DRDIFDCD","11445000.0","YOGURT, FRUIT & NUTS, LOWFAT MILK",
"DRDIFDCD","11459990.0","YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK",
"DRDIFDCD","11460000.0","YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS",
"DRDIFDCD","11460100.0","YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS",
"DRDIFDCD","11460150.0","YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK",
"DRDIFDCD","11460160.0","YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK",
"DRDIFDCD","11460170.0","YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK",
"DRDIFDCD","11460190.0","YOGURT, FROZEN, NS AS TO FLAVOR, NONFAT MILK",
"DRDIFDCD","11460200.0","YOGURT, FROZEN, CHOCOLATE, NONFAT MILK",
"DRDIFDCD","11460250.0","YOGURT,FROZEN,NOT CHOCOLATE,W/ SORBET/SORBET-COATED",
"DRDIFDCD","11460300.0","YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK",
"DRDIFDCD","11460400.0","YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET",
"DRDIFDCD","11460410.0","YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET",
"DRDIFDCD","11460420.0","YOGURT, FROZEN, NS AS TO FLAVOR, WHOLE MILK",
"DRDIFDCD","11460430.0","YOGURT, FROZEN, CHOCOLATE, WHOLE MILK",
"DRDIFDCD","11460440.0","YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK",
"DRDIFDCD","11461000.0","YOGURT, FROZEN, CHOCOLATE-COATED",
"DRDIFDCD","11461100.0","YOGURT, FROZEN, CAROB-COATED",
"DRDIFDCD","11461200.0","YOGURT, FROZEN, SANDWICH",
"DRDIFDCD","11461250.0","YOGURT, FROZEN, CONE, CHOCOLATE",
"DRDIFDCD","11461260.0","YOGURT, FROZEN, CONE, NOT CHOCOLATE",
"DRDIFDCD","11461270.0","YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK",
"DRDIFDCD","11461280.0","YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK",
"DRDIFDCD","11511000.0","MILK, CHOCOLATE, NFS",
"DRDIFDCD","11511100.0","MILK, CHOCOLATE, WHOLE MILK BASED",
"DRDIFDCD","11511200.0","MILK, CHOCOLATE, RED FAT, 2%",
"DRDIFDCD","11511300.0","MILK, CHOCOLATE, SKIM MILK BASED",
"DRDIFDCD","11511400.0","MILK, CHOCOLATE, LOWFAT MILK-BASED",
"DRDIFDCD","11512000.0","COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK",
"DRDIFDCD","11512500.0","SPANISH-STYLE HOT CHOCOLATE DRINK, PUERTO RICAN STYLE, MADE",
"DRDIFDCD","11513000.0","COCOA & SUGAR MIXTURE, MILK ADDED, NS TYPE MILK",
"DRDIFDCD","11513100.0","COCOA & SUGAR MIXTURE, WHOLE MILK ADDED",
"DRDIFDCD","11513150.0","COCOA & SUGAR MIX, RED FAT MILK ADDED",
"DRDIFDCD","11513200.0","COCOA & SUGAR MIXTURE, LOWFAT MILK ADDED",
"DRDIFDCD","11513300.0","COCOA & SUGAR MIXTURE, SKIM MILK ADDED",
"DRDIFDCD","11513400.0","CHOCOLATE SYRUP MILK ADDED, NS AS TO TYPE OF MILK",
"DRDIFDCD","11513500.0","CHOCOLATE SYRUP, WHOLE MILK ADDED",
"DRDIFDCD","11513550.0","CHOCOLATE SYRUP, RED FAT MILK ADDED",
"DRDIFDCD","11513600.0","CHOCOLATE SYRUP, LOWFAT MILK ADDED",
"DRDIFDCD","11513700.0","CHOCOLATE SYRUP, SKIM MILK ADDED",
"DRDIFDCD","11514100.0","COCOA, SUGAR, & DRY MILK MIXTURE, WATER ADDED",
"DRDIFDCD","11514300.0","COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED",
"DRDIFDCD","11514500.0","COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED",
"DRDIFDCD","11515100.0","COCOA & SUGAR W/ MILK, FORTIFIED, PUERTO RICAN",
"DRDIFDCD","11515400.0","COCOA W/ NFDM, LOW CALORIE, HI CALCIUM, WATER ADDED",
"DRDIFDCD","11516000.0","COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED",
"DRDIFDCD","11518000.0","MILK BEV W/ NF DRY MLK, LO CAL SWEET, WATER, CHOC",
"DRDIFDCD","11518050.0","MILK BEV W/NF DRY MILK, LO CAL SWEET,WATER,NOT CHOC",
"DRDIFDCD","11518100.0","MILK BEV W/NFD MILK, LO CAL SWEET, HI CALCIUM, CHOC",
"DRDIFDCD","11519000.0","MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK",
"DRDIFDCD","11519050.0","MILK, NOT CHOCOLATE, WHOLE MILK BASED",
"DRDIFDCD","11520000.0","MILK, MALTED, UNFORTIFIED, FLAVOR NS",
"DRDIFDCD","11521000.0","MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR",
"DRDIFDCD","11521010.0","MILK, MALTED, UNFORTIFIED, CHOC, MADE W/ SKIM MILK",
"DRDIFDCD","11522000.0","MILK, MALTED, UNFORTIFIED, NATURAL FLAVOR",
"DRDIFDCD","11525000.0","MILK,MALTED,FORTIFIED,NATURAL FLAVOR (INCL OVALTINE",
"DRDIFDCD","11526000.0","MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)",
"DRDIFDCD","11527000.0","MILK, MALTED, FORTIFIED, (INCL OVALTINE)",
"DRDIFDCD","11531000.0","EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)",
"DRDIFDCD","11531500.0","EGGNOG, MADE W/ 2% REDUCED FAT MILK",
"DRDIFDCD","11541000.0","MILK SHAKE, NS AS TO FLAVOR OR TYPE",
"DRDIFDCD","11541100.0","MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR",
"DRDIFDCD","11541110.0","MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE",
"DRDIFDCD","11541120.0","MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE",
