"FMTNAME","START","LABEL",
"DRDIFDCD","11513150.0","COCOA & SUGAR MIX, RED FAT MILK ADDED",
"DRDIFDCD","11513200.0","COCOA & SUGAR MIXTURE, LOWFAT MILK ADDED",
"DRDIFDCD","11513300.0","COCOA & SUGAR MIXTURE, SKIM MILK ADDED",
"DRDIFDCD","11513400.0","CHOCOLATE SYRUP MILK ADDED, NS AS TO TYPE OF MILK",
"DRDIFDCD","11513500.0","CHOCOLATE SYRUP, WHOLE MILK ADDED",
"DRDIFDCD","11513550.0","CHOCOLATE SYRUP, RED FAT MILK ADDED",
"DRDIFDCD","11513600.0","CHOCOLATE SYRUP, LOWFAT MILK ADDED",
"DRDIFDCD","11513700.0","CHOCOLATE SYRUP, SKIM MILK ADDED",
"DRDIFDCD","11514100.0","COCOA, SUGAR, & DRY MILK MIXTURE, WATER ADDED",
"DRDIFDCD","11514300.0","COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED",
"DRDIFDCD","11514500.0","COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED",
"DRDIFDCD","11516000.0","COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED",
"DRDIFDCD","11519000.0","MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK",
"DRDIFDCD","11519050.0","MILK, NOT CHOCOLATE, WHOLE MILK BASED",
"DRDIFDCD","11520000.0","MILK, MALTED, UNFORTIFIED, FLAVOR NS",
"DRDIFDCD","11521000.0","MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR",
"DRDIFDCD","11526000.0","MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)",
"DRDIFDCD","11527000.0","MILK, MALTED, FORTIFIED, (INCL OVALTINE)",
"DRDIFDCD","11531000.0","EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)",
"DRDIFDCD","11531500.0","EGGNOG, MADE W/ 2% REDUCED FAT MILK",
"DRDIFDCD","11541100.0","MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR",
"DRDIFDCD","11541110.0","MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE",
"DRDIFDCD","11541120.0","MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE",
"DRDIFDCD","11541400.0","MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)",
