age,food_group,average_taken,recommended_low,recommended_high
34,fruits,135,262.5,337.5
34,grains,997.5,975,1275
34,protein,990,825,975
34,vegetable,262.5,412.5,525
34,Fats Oils Salad dressings,22.5,27,36
35,dairy,240,435,465
35,fruits,135,262.5,337.5
35,grains,997.5,975,1275
35,protein,990,825,975
35,vegetable,262.5,412.5,525
35,Fats Oils Salad dressings,22.5,27,36
36,dairy,240,435,465
36,fruits,135,262.5,337.5
36,grains,997.5,975,1275
36,protein,990,825,975
36,vegetable,262.5,412.5,525
36,Fats Oils Salad dressings,22.5,27,36
37,dairy,240,435,465
37,fruits,135,262.5,337.5
37,grains,997.5,975,1275
37,protein,990,825,975
37,vegetable,262.5,412.5,525
37,Fats Oils Salad dressings,22.5,27,36
38,dairy,240,435,465
38,fruits,135,262.5,337.5
38,grains,997.5,975,1275
38,protein,990,825,975
38,vegetable,262.5,412.5,525
38,Fats Oils Salad dressings,22.5,27,36
39,dairy,240,435,465
39,fruits,135,262.5,337.5
39,grains,997.5,975,1275
39,protein,990,825,975
39,vegetable,262.5,412.5,525
39,Fats Oils Salad dressings,22.5,27,36
40,dairy,240,435,465
40,fruits,135,262.5,337.5
40,grains,997.5,975,1275
40,protein,990,825,975
40,vegetable,262.5,412.5,525
40,Fats Oils Salad dressings,22.5,27,36
41,dairy,240,435,465
41,fruits,135,262.5,337.5
41,grains,997.5,975,1275
41,protein,990,825,975
41,vegetable,262.5,412.5,525
41,Fats Oils Salad dressings,22.5,27,36
42,dairy,240,435,465
42,fruits,135,262.5,337.5
42,grains,997.5,975,1275
42,protein,990,825,975
42,vegetable,262.5,412.5,525
42,Fats Oils Salad dressings,22.5,27,36
43,dairy,240,435,465
43,fruits,135,262.5,337.5
43,grains,997.5,975,1275
43,protein,990,825,975
43,vegetable,262.5,412.5,525
43,Fats Oils Salad dressings,22.5,27,36
44,dairy,240,435,465
44,fruits,135,262.5,337.5
44,grains,997.5,975,1275
44,protein,990,825,975
44,vegetable,262.5,412.5,525
44,Fats Oils Salad dressings,22.5,27,36
45,dairy,240,435,465
45,fruits,135,262.5,337.5
45,grains,997.5,975,1275
45,protein,990,825,975
45,vegetable,262.5,412.5,525
45,Fats Oils Salad dressings,22.5,27,36
46,dairy,240,435,465
46,fruits,135,262.5,337.5
46,grains,997.5,975,1275
46,protein,990,825,975
46,vegetable,262.5,412.5,525
46,Fats Oils Salad dressings,22.5,27,36
47,dairy,240,435,465
47,fruits,135,262.5,337.5
47,grains,997.5,975,1275
47,protein,990,825,975
47,vegetable,262.5,412.5,525
47,Fats Oils Salad dressings,22.5,27,36
48,dairy,240,435,465
48,fruits,135,262.5,337.5
48,grains,997.5,975,1275
48,protein,990,825,975
48,vegetable,262.5,412.5,525
48,Fats Oils Salad dressings,22.5,27,36
49,dairy,240,435,465
49,fruits,135,262.5,337.5
49,grains,997.5,975,1275
49,protein,990,825,975
49,vegetable,262.5,412.5,525
49,Fats Oils Salad dressings,22.5,27,36
50,dairy,240,435,465
50,fruits,135,262.5,337.5
50,grains,997.5,975,1275
50,protein,990,825,975
50,vegetable,262.5,412.5,525
50,Fats Oils Salad dressings,22.5,27,36
51,dairy,232.5,435,465
51,fruits,180,262.5,337.5
51,grains,900,825,1275
51,protein,930,787.5,975
51,vegetable,277.5,337.5,487.5
51,Fats Oils Salad dressings,22.5,24,33
52,dairy,232.5,435,465
52,fruits,180,262.5,337.5
52,grains,900,825,1275
52,protein,930,787.5,975
52,vegetable,277.5,337.5,487.5
52,Fats Oils Salad dressings,22.5,24,33
53,dairy,232.5,435,465
53,fruits,180,262.5,337.5
53,grains,900,825,1275
53,protein,930,787.5,975
53,vegetable,277.5,337.5,487.5
53,Fats Oils Salad dressings,22.5,24,33
54,dairy,232.5,435,465
54,fruits,180,262.5,337.5
54,grains,900,825,1275
54,protein,930,787.5,975
54,vegetable,277.5,337.5,487.5
54,Fats Oils Salad dressings,22.5,24,33
55,dairy,232.5,435,465
55,fruits,180,262.5,337.5
55,grains,900,825,1275
