age,subgroup,average_taken,recommended_low,recommended_high
19,seafood,2475,900,1500
19,starchy vegetables,450,825,1050
19,seafood,2475,900,1500
19,seafood,2475,900,1500
20,dark green vegetables,97.5,262.5,337.5
20,legumes beans and peas,112.5,262.5,375
20,meat poultry and eggs,5400,4125,4875
20,nuts seeds and soy products,525,675,825
20,other vegetables,547.5,675,900
20,red and orange vegetables,435,862.5,1012.5
20,seafood,2475,900,1500
20,starchy vegetables,450,825,1050
20,seafood,2475,900,1500
20,seafood,2475,900,1500
21,dark green vegetables,97.5,262.5,337.5
21,legumes beans and peas,112.5,262.5,375
21,meat poultry and eggs,5400,4125,4875
21,nuts seeds and soy products,525,675,825
21,other vegetables,547.5,675,900
21,red and orange vegetables,435,862.5,1012.5
21,seafood,2475,900,1500
21,starchy vegetables,450,825,1050
21,seafood,2475,900,1500
21,seafood,2475,900,1500
22,dark green vegetables,97.5,262.5,337.5
22,legumes beans and peas,112.5,262.5,375
22,meat poultry and eggs,5400,4125,4875
22,nuts seeds and soy products,525,675,825
22,other vegetables,547.5,675,900
22,red and orange vegetables,435,862.5,1012.5
22,seafood,2475,900,1500
22,starchy vegetables,450,825,1050
22,seafood,2475,900,1500
22,seafood,2475,900,1500
23,dark green vegetables,97.5,262.5,337.5
23,legumes beans and peas,112.5,262.5,375
23,meat poultry and eggs,5400,4125,4875
23,nuts seeds and soy products,525,675,825
23,other vegetables,547.5,675,900
23,red and orange vegetables,435,862.5,1012.5
23,seafood,2475,900,1500
23,starchy vegetables,450,825,1050
23,seafood,2475,900,1500
23,seafood,2475,900,1500
24,dark green vegetables,97.5,262.5,337.5
24,legumes beans and peas,112.5,262.5,375
24,meat poultry and eggs,5400,4125,4875
24,nuts seeds and soy products,525,675,825
24,other vegetables,547.5,675,900
24,red and orange vegetables,435,862.5,1012.5
24,seafood,2475,900,1500
24,starchy vegetables,450,825,1050
24,seafood,2475,900,1500
24,seafood,2475,900,1500
25,dark green vegetables,97.5,262.5,337.5
25,legumes beans and peas,112.5,262.5,375
25,meat poultry and eggs,5400,4125,4875
25,nuts seeds and soy products,525,675,825
25,other vegetables,547.5,675,900
25,red and orange vegetables,435,862.5,1012.5
25,seafood,2475,900,1500
25,starchy vegetables,450,825,1050
25,seafood,2475,900,1500
25,seafood,2475,900,1500
26,dark green vegetables,97.5,262.5,337.5
26,legumes beans and peas,112.5,262.5,375
26,meat poultry and eggs,5400,4125,4875
26,nuts seeds and soy products,525,675,825
26,other vegetables,547.5,675,900
26,red and orange vegetables,435,862.5,1012.5
26,seafood,2475,900,1500
26,starchy vegetables,450,825,1050
26,seafood,2475,900,1500
26,seafood,2475,900,1500
27,dark green vegetables,97.5,262.5,337.5
27,legumes beans and peas,112.5,262.5,375
27,meat poultry and eggs,5400,4125,4875
27,nuts seeds and soy products,525,675,825
27,other vegetables,547.5,675,900
27,red and orange vegetables,435,862.5,1012.5
27,seafood,2475,900,1500
27,starchy vegetables,450,825,1050
27,seafood,2475,900,1500
27,seafood,2475,900,1500
28,dark green vegetables,97.5,262.5,337.5
28,legumes beans and peas,112.5,262.5,375
28,meat poultry and eggs,5400,4125,4875
28,nuts seeds and soy products,525,675,825
28,other vegetables,547.5,675,900
28,red and orange vegetables,435,862.5,1012.5
28,seafood,2475,900,1500
28,starchy vegetables,450,825,1050
28,seafood,2475,900,1500
28,seafood,2475,900,1500
29,dark green vegetables,97.5,262.5,337.5
29,legumes beans and peas,112.5,262.5,375
29,meat poultry and eggs,5400,4125,4875
29,nuts seeds and soy products,525,675,825
29,other vegetables,547.5,675,900
29,red and orange vegetables,435,862.5,1012.5
29,seafood,2475,900,1500
29,starchy vegetables,450,825,1050
29,seafood,2475,900,1500
29,seafood,2475,900,1500
30,dark green vegetables,97.5,262.5,337.5
30,legumes beans and peas,112.5,262.5,375
30,meat poultry and eggs,5400,4125,4875
30,nuts seeds and soy products,525,675,825
30,other vegetables,547.5,675,900
30,red and orange vegetables,435,862.5,1012.5
30,seafood,2475,900,1500
30,starchy vegetables,450,825,1050
30,seafood,2475,900,1500
30,seafood,2475,900,1500
31,dark green vegetables,135,262.5,337.5
31,legumes beans and peas,135,262.5,375
31,meat poultry and eggs,5475,3975,4725
31,nuts seeds and soy products,825,675,825
31,other vegetables,615,675,900
31,red and orange vegetables,442.5,862.5,1012.5
31,seafood,2475,900,1500
31,seafood,675,1275,1425
31,starchy vegetables,495,825,1050
31,seafood,2475,900,1500
31,seafood,675,1275,1425
31,seafood,675,1275,1425
32,dark green vegetables,135,262.5,337.5
32,legumes beans and peas,135,262.5,375
32,meat poultry and eggs,5475,3975,4725
32,nuts seeds and soy products,825,675,825
32,other vegetables,615,675,900
32,red and orange vegetables,442.5,862.5,1012.5
32,seafood,2475,900,1500
32,seafood,675,1275,1425
32,starchy vegetables,495,825,1050
32,seafood,2475,900,1500
32,seafood,675,1275,1425
32,seafood,675,1275,1425
33,dark green vegetables,135,262.5,337.5
33,legumes beans and peas,135,262.5,375
33,meat poultry and eggs,5475,3975,4725
33,nuts seeds and soy products,825,675,825
33,other vegetables,615,675,900
33,red and orange vegetables,442.5,862.5,1012.5
33,seafood,2475,900,1500
33,seafood,675,1275,1425
33,starchy vegetables,495,825,1050
33,seafood,2475,900,1500
33,seafood,675,1275,1425
33,seafood,675,1275,1425
34,dark green vegetables,135,262.5,337.5
34,legumes beans and peas,135,262.5,375
34,meat poultry and eggs,5475,3975,4725
34,nuts seeds and soy products,825,675,825
34,other vegetables,615,675,900
34,red and orange vegetables,442.5,862.5,1012.5
34,seafood,2475,900,1500
34,seafood,675,1275,1425
34,starchy vegetables,495,825,1050
34,seafood,2475,900,1500
34,seafood,675,1275,1425
34,seafood,675,1275,1425
35,dark green vegetables,135,262.5,337.5
35,legumes beans and peas,135,262.5,375
35,meat poultry and eggs,5475,3975,4725
35,nuts seeds and soy products,825,675,825
35,other vegetables,615,675,900
35,red and orange vegetables,442.5,862.5,1012.5
35,seafood,2475,900,1500
35,seafood,675,1275,1425
35,starchy vegetables,495,825,1050
35,seafood,2475,900,1500
35,seafood,675,1275,1425
35,seafood,675,1275,1425
36,dark green vegetables,135,262.5,337.5
36,legumes beans and peas,135,262.5,375
36,meat poultry and eggs,5475,3975,4725
36,nuts seeds and soy products,825,675,825
36,other vegetables,615,675,900
36,red and orange vegetables,442.5,862.5,1012.5
36,seafood,2475,900,1500
36,seafood,675,1275,1425
36,starchy vegetables,495,825,1050
36,seafood,2475,900,1500
36,seafood,675,1275,1425
36,seafood,675,1275,1425
37,dark green vegetables,135,262.5,337.5
37,legumes beans and peas,135,262.5,375
37,meat poultry and eggs,5475,3975,4725
37,nuts seeds and soy products,825,675,825
37,other vegetables,615,675,900
37,red and orange vegetables,442.5,862.5,1012.5
37,seafood,2475,900,1500
37,seafood,675,1275,1425
37,starchy vegetables,495,825,1050
37,seafood,2475,900,1500
37,seafood,675,1275,1425
37,seafood,675,1275,1425
38,dark green vegetables,135,262.5,337.5
38,legumes beans and peas,135,262.5,375
38,meat poultry and eggs,5475,3975,4725
38,nuts seeds and soy products,825,675,825
38,other vegetables,615,675,900
38,red and orange vegetables,442.5,862.5,1012.5
38,seafood,2475,900,1500
38,seafood,675,1275,1425
38,starchy vegetables,495,825,1050
38,seafood,2475,900,1500
38,seafood,675,1275,1425
38,seafood,675,1275,1425
39,dark green vegetables,135,262.5,337.5
39,legumes beans and peas,135,262.5,375
39,meat poultry and eggs,5475,3975,4725
39,nuts seeds and soy products,825,675,825
39,other vegetables,615,675,900
39,red and orange vegetables,442.5,862.5,1012.5
39,seafood,2475,900,1500
39,seafood,675,1275,1425
39,starchy vegetables,495,825,1050
39,seafood,2475,900,1500
39,seafood,675,1275,1425
39,seafood,675,1275,1425
40,dark green vegetables,135,262.5,337.5
40,legumes beans and peas,135,262.5,375
40,meat poultry and eggs,5475,3975,4725
40,nuts seeds and soy products,825,675,825
40,other vegetables,615,675,900
40,red and orange vegetables,442.5,862.5,1012.5
40,seafood,2475,900,1500
40,seafood,675,1275,1425
40,starchy vegetables,495,825,1050
40,seafood,2475,900,1500
40,seafood,675,1275,1425
40,seafood,675,1275,1425
41,dark green vegetables,135,262.5,337.5
41,legumes beans and peas,135,262.5,375
41,meat poultry and eggs,5475,3975,4725
41,nuts seeds and soy products,825,675,825
41,other vegetables,615,675,900
41,red and orange vegetables,442.5,862.5,1012.5
41,seafood,2475,900,1500
41,seafood,675,1275,1425
41,starchy vegetables,495,825,1050
41,seafood,2475,900,1500
41,seafood,675,1275,1425
41,seafood,675,1275,1425
42,dark green vegetables,135,262.5,337.5
42,legumes beans and peas,135,262.5,375
42,meat poultry and eggs,5475,3975,4725
42,nuts seeds and soy products,825,675,825
42,other vegetables,615,675,900
42,red and orange vegetables,442.5,862.5,1012.5
42,seafood,2475,900,1500
42,seafood,675,1275,1425
42,starchy vegetables,495,825,1050
42,seafood,2475,900,1500
42,seafood,675,1275,1425
42,seafood,675,1275,1425
43,dark green vegetables,135,262.5,337.5
43,legumes beans and peas,135,262.5,375
43,meat poultry and eggs,5475,3975,4725
43,nuts seeds and soy products,825,675,825
43,other vegetables,615,675,900
43,red and orange vegetables,442.5,862.5,1012.5
43,seafood,2475,900,1500
43,seafood,675,1275,1425
43,starchy vegetables,495,825,1050
43,seafood,2475,900,1500
43,seafood,675,1275,1425
43,seafood,675,1275,1425
44,dark green vegetables,135,262.5,337.5
44,legumes beans and peas,135,262.5,375
44,meat poultry and eggs,5475,3975,4725
44,nuts seeds and soy products,825,675,825
44,other vegetables,615,675,900
44,red and orange vegetables,442.5,862.5,1012.5
44,seafood,2475,900,1500
44,seafood,675,1275,1425
44,starchy vegetables,495,825,1050
44,seafood,2475,900,1500
44,seafood,675,1275,1425
44,seafood,675,1275,1425
45,dark green vegetables,135,262.5,337.5
45,legumes beans and peas,135,262.5,375
45,meat poultry and eggs,5475,3975,4725
45,nuts seeds and soy products,825,675,825
45,other vegetables,615,675,900
45,red and orange vegetables,442.5,862.5,1012.5
45,seafood,2475,900,1500
45,seafood,675,1275,1425
45,starchy vegetables,495,825,1050
45,seafood,2475,900,1500
45,seafood,675,1275,1425
45,seafood,675,1275,1425
46,dark green vegetables,135,262.5,337.5
46,legumes beans and peas,135,262.5,375
46,meat poultry and eggs,5475,3975,4725
46,nuts seeds and soy products,825,675,825
46,other vegetables,615,675,900
46,red and orange vegetables,442.5,862.5,1012.5
46,seafood,2475,900,1500
46,seafood,675,1275,1425
46,starchy vegetables,495,825,1050
46,seafood,2475,900,1500
46,seafood,675,1275,1425
46,seafood,675,1275,1425
47,dark green vegetables,135,262.5,337.5
47,legumes beans and peas,135,262.5,375
47,meat poultry and eggs,5475,3975,4725
47,nuts seeds and soy products,825,675,825
47,other vegetables,615,675,900
47,red and orange vegetables,442.5,862.5,1012.5
47,seafood,2475,900,1500
47,seafood,675,1275,1425
47,starchy vegetables,495,825,1050
47,seafood,2475,900,1500
47,seafood,675,1275,1425
