age,subgroup,average_taken,recommended_low,recommended_high
73,seafood,600,1200,1425
73,starchy vegetables,502.5,675,975
73,seafood,2475,900,1500
73,seafood,600,1200,1425
73,seafood,600,1200,1425
74,dark green vegetables,127.5,225,337.5
74,legumes beans and peas,97.5,187.5,337.5
74,meat poultry and eggs,4050,3750,4725
74,nuts seeds and soy products,825,675,825
74,other vegetables,562.5,562.5,787.5
74,red and orange vegetables,405,712.5,975
74,seafood,2475,900,1500
74,seafood,600,1200,1425
74,starchy vegetables,502.5,675,975
74,seafood,2475,900,1500
74,seafood,600,1200,1425
74,seafood,600,1200,1425
75,dark green vegetables,127.5,225,337.5
75,legumes beans and peas,97.5,187.5,337.5
75,meat poultry and eggs,4050,3750,4725
75,nuts seeds and soy products,825,675,825
75,other vegetables,562.5,562.5,787.5
75,red and orange vegetables,405,712.5,975
75,seafood,2475,900,1500
75,seafood,600,1200,1425
75,starchy vegetables,502.5,675,975
75,seafood,2475,900,1500
75,seafood,600,1200,1425
75,seafood,600,1200,1425
76,dark green vegetables,127.5,225,337.5
76,legumes beans and peas,97.5,187.5,337.5
76,meat poultry and eggs,4050,3750,4725
76,nuts seeds and soy products,825,675,825
76,other vegetables,562.5,562.5,787.5
76,red and orange vegetables,405,712.5,975
76,seafood,2475,900,1500
76,seafood,600,1200,1425
76,starchy vegetables,502.5,675,975
76,seafood,2475,900,1500
76,seafood,600,1200,1425
76,seafood,600,1200,1425
77,dark green vegetables,127.5,225,337.5
77,legumes beans and peas,97.5,187.5,337.5
77,meat poultry and eggs,4050,3750,4725
77,nuts seeds and soy products,825,675,825
77,other vegetables,562.5,562.5,787.5
77,red and orange vegetables,405,712.5,975
77,seafood,2475,900,1500
77,seafood,600,1200,1425
77,starchy vegetables,502.5,675,975
77,seafood,2475,900,1500
77,seafood,600,1200,1425
77,seafood,600,1200,1425
78,dark green vegetables,127.5,225,337.5
78,legumes beans and peas,97.5,187.5,337.5
78,meat poultry and eggs,4050,3750,4725
78,nuts seeds and soy products,825,675,825
78,other vegetables,562.5,562.5,787.5
78,red and orange vegetables,405,712.5,975
78,seafood,2475,900,1500
78,seafood,600,1200,1425
78,starchy vegetables,502.5,675,975
78,seafood,2475,900,1500
78,seafood,600,1200,1425
78,seafood,600,1200,1425
79,dark green vegetables,127.5,225,337.5
79,legumes beans and peas,97.5,187.5,337.5
79,meat poultry and eggs,4050,3750,4725
79,nuts seeds and soy products,825,675,825
79,other vegetables,562.5,562.5,787.5
79,red and orange vegetables,405,712.5,975
79,seafood,2475,900,1500
79,seafood,600,1200,1425
79,starchy vegetables,502.5,675,975
79,seafood,2475,900,1500
79,seafood,600,1200,1425
79,seafood,600,1200,1425
80,dark green vegetables,127.5,225,337.5
80,legumes beans and peas,97.5,187.5,337.5
80,meat poultry and eggs,4050,3750,4725
80,nuts seeds and soy products,825,675,825
80,other vegetables,562.5,562.5,787.5
80,red and orange vegetables,405,712.5,975
80,seafood,2475,900,1500
80,seafood,600,1200,1425
80,starchy vegetables,502.5,675,975
80,seafood,2475,900,1500
80,seafood,600,1200,1425
80,seafood,600,1200,1425
81,dark green vegetables,127.5,225,337.5
81,legumes beans and peas,97.5,187.5,337.5
81,meat poultry and eggs,4050,3750,4725
81,nuts seeds and soy products,825,675,825
81,other vegetables,562.5,562.5,787.5
81,red and orange vegetables,405,712.5,975
81,seafood,2475,900,1500
81,seafood,600,1200,1425
81,starchy vegetables,502.5,675,975
81,seafood,2475,900,1500
81,seafood,600,1200,1425
81,seafood,600,1200,1425
82,dark green vegetables,127.5,225,337.5
82,legumes beans and peas,97.5,187.5,337.5
82,meat poultry and eggs,4050,3750,4725
82,nuts seeds and soy products,825,675,825
82,other vegetables,562.5,562.5,787.5
82,red and orange vegetables,405,712.5,975
82,seafood,2475,900,1500
82,seafood,600,1200,1425
82,starchy vegetables,502.5,675,975
82,seafood,2475,900,1500
82,seafood,600,1200,1425
82,seafood,600,1200,1425
83,dark green vegetables,127.5,225,337.5
83,legumes beans and peas,97.5,187.5,337.5
83,meat poultry and eggs,4050,3750,4725
83,nuts seeds and soy products,825,675,825
83,other vegetables,562.5,562.5,787.5
83,red and orange vegetables,405,712.5,975
83,seafood,2475,900,1500
83,seafood,600,1200,1425
83,starchy vegetables,502.5,675,975
83,seafood,2475,900,1500
83,seafood,600,1200,1425
83,seafood,600,1200,1425
84,dark green vegetables,127.5,225,337.5
84,legumes beans and peas,97.5,187.5,337.5
84,meat poultry and eggs,4050,3750,4725
84,nuts seeds and soy products,825,675,825
84,other vegetables,562.5,562.5,787.5
84,red and orange vegetables,405,712.5,975
84,seafood,2475,900,1500
84,seafood,600,1200,1425
84,starchy vegetables,502.5,675,975
84,seafood,2475,900,1500
84,seafood,600,1200,1425
84,seafood,600,1200,1425
85,dark green vegetables,127.5,225,337.5
85,legumes beans and peas,97.5,187.5,337.5
85,meat poultry and eggs,4050,3750,4725
85,nuts seeds and soy products,825,675,825
85,other vegetables,562.5,562.5,787.5
85,red and orange vegetables,405,712.5,975
85,seafood,2475,900,1500
85,seafood,600,1200,1425
85,starchy vegetables,502.5,675,975
85,seafood,2475,900,1500
85,seafood,600,1200,1425
85,seafood,600,1200,1425
86,dark green vegetables,127.5,225,337.5
86,legumes beans and peas,97.5,187.5,337.5
86,meat poultry and eggs,4050,3750,4725
86,nuts seeds and soy products,825,675,825
86,other vegetables,562.5,562.5,787.5
86,red and orange vegetables,405,712.5,975
86,seafood,2475,900,1500
86,seafood,600,1200,1425
86,starchy vegetables,502.5,675,975
86,seafood,2475,900,1500
86,seafood,600,1200,1425
86,seafood,600,1200,1425
87,dark green vegetables,127.5,225,337.5
87,legumes beans and peas,97.5,187.5,337.5
87,meat poultry and eggs,4050,3750,4725
87,nuts seeds and soy products,825,675,825
87,other vegetables,562.5,562.5,787.5
87,red and orange vegetables,405,712.5,975
87,seafood,2475,900,1500
87,seafood,600,1200,1425
87,starchy vegetables,502.5,675,975
87,seafood,2475,900,1500
87,seafood,600,1200,1425
87,seafood,600,1200,1425
88,dark green vegetables,127.5,225,337.5
88,legumes beans and peas,97.5,187.5,337.5
88,meat poultry and eggs,4050,3750,4725
88,nuts seeds and soy products,825,675,825
88,other vegetables,562.5,562.5,787.5
88,red and orange vegetables,405,712.5,975
88,seafood,2475,900,1500
88,seafood,600,1200,1425
88,starchy vegetables,502.5,675,975
88,seafood,2475,900,1500
88,seafood,600,1200,1425
88,seafood,600,1200,1425
89,dark green vegetables,127.5,225,337.5
89,legumes beans and peas,97.5,187.5,337.5
89,meat poultry and eggs,4050,3750,4725
89,nuts seeds and soy products,825,675,825
89,other vegetables,562.5,562.5,787.5
89,red and orange vegetables,405,712.5,975
89,seafood,2475,900,1500
89,seafood,600,1200,1425
89,starchy vegetables,502.5,675,975
89,seafood,2475,900,1500
89,seafood,600,1200,1425
89,seafood,600,1200,1425
90,dark green vegetables,127.5,225,337.5
90,legumes beans and peas,97.5,187.5,337.5
90,meat poultry and eggs,4050,3750,4725
90,nuts seeds and soy products,825,675,825
90,other vegetables,562.5,562.5,787.5
90,red and orange vegetables,405,712.5,975
90,seafood,2475,900,1500
90,seafood,600,1200,1425
90,starchy vegetables,502.5,675,975
90,seafood,2475,900,1500
90,seafood,600,1200,1425
90,seafood,600,1200,1425
91,dark green vegetables,127.5,225,337.5
91,legumes beans and peas,97.5,187.5,337.5
91,meat poultry and eggs,4050,3750,4725
91,nuts seeds and soy products,825,675,825
91,other vegetables,562.5,562.5,787.5
91,red and orange vegetables,405,712.5,975
91,seafood,2475,900,1500
91,seafood,600,1200,1425
91,starchy vegetables,502.5,675,975
91,seafood,2475,900,1500
91,seafood,600,1200,1425
91,seafood,600,1200,1425
92,dark green vegetables,127.5,225,337.5
92,legumes beans and peas,97.5,187.5,337.5
92,meat poultry and eggs,4050,3750,4725
92,nuts seeds and soy products,825,675,825
92,other vegetables,562.5,562.5,787.5
92,red and orange vegetables,405,712.5,975
92,seafood,2475,900,1500
92,seafood,600,1200,1425
92,starchy vegetables,502.5,675,975
92,seafood,2475,900,1500
92,seafood,600,1200,1425
92,seafood,600,1200,1425
93,dark green vegetables,127.5,225,337.5
93,legumes beans and peas,97.5,187.5,337.5
93,meat poultry and eggs,4050,3750,4725
93,nuts seeds and soy products,825,675,825
93,other vegetables,562.5,562.5,787.5
93,red and orange vegetables,405,712.5,975
93,seafood,2475,900,1500
93,seafood,600,1200,1425
93,starchy vegetables,502.5,675,975
93,seafood,2475,900,1500
93,seafood,600,1200,1425
93,seafood,600,1200,1425
94,dark green vegetables,127.5,225,337.5
94,legumes beans and peas,97.5,187.5,337.5
94,meat poultry and eggs,4050,3750,4725
94,nuts seeds and soy products,825,675,825
94,other vegetables,562.5,562.5,787.5
94,red and orange vegetables,405,712.5,975
94,seafood,2475,900,1500
94,seafood,600,1200,1425
94,starchy vegetables,502.5,675,975
94,seafood,2475,900,1500
94,seafood,600,1200,1425
94,seafood,600,1200,1425
95,dark green vegetables,127.5,225,337.5
95,legumes beans and peas,97.5,187.5,337.5
95,meat poultry and eggs,4050,3750,4725
95,nuts seeds and soy products,825,675,825
95,other vegetables,562.5,562.5,787.5
95,red and orange vegetables,405,712.5,975
95,seafood,2475,900,1500
95,seafood,600,1200,1425
95,starchy vegetables,502.5,675,975
95,seafood,2475,900,1500
95,seafood,600,1200,1425
95,seafood,600,1200,1425
96,dark green vegetables,127.5,225,337.5
96,legumes beans and peas,97.5,187.5,337.5
96,meat poultry and eggs,4050,3750,4725
96,nuts seeds and soy products,825,675,825
96,other vegetables,562.5,562.5,787.5
96,red and orange vegetables,405,712.5,975
96,seafood,2475,900,1500
96,seafood,600,1200,1425
96,starchy vegetables,502.5,675,975
96,seafood,2475,900,1500
96,seafood,600,1200,1425
96,seafood,600,1200,1425
97,dark green vegetables,127.5,225,337.5
97,legumes beans and peas,97.5,187.5,337.5
97,meat poultry and eggs,4050,3750,4725
97,nuts seeds and soy products,825,675,825
97,other vegetables,562.5,562.5,787.5
97,red and orange vegetables,405,712.5,975
97,seafood,2475,900,1500
97,seafood,600,1200,1425
97,starchy vegetables,502.5,675,975
97,seafood,2475,900,1500
97,seafood,600,1200,1425
97,seafood,600,1200,1425
98,dark green vegetables,127.5,225,337.5
98,legumes beans and peas,97.5,187.5,337.5
98,meat poultry and eggs,4050,3750,4725
98,nuts seeds and soy products,825,675,825
98,other vegetables,562.5,562.5,787.5
98,red and orange vegetables,405,712.5,975
98,seafood,2475,900,1500
98,seafood,600,1200,1425
98,starchy vegetables,502.5,675,975
98,seafood,2475,900,1500
98,seafood,600,1200,1425
98,seafood,600,1200,1425
99,dark green vegetables,127.5,225,337.5
99,legumes beans and peas,97.5,187.5,337.5
99,meat poultry and eggs,4050,3750,4725
99,nuts seeds and soy products,825,675,825
99,other vegetables,562.5,562.5,787.5
99,red and orange vegetables,405,712.5,975
99,seafood,2475,900,1500
99,seafood,600,1200,1425
99,starchy vegetables,502.5,675,975
99,seafood,2475,900,1500
99,seafood,600,1200,1425
99,seafood,600,1200,1425
100,dark green vegetables,127.5,225,337.5
100,legumes beans and peas,97.5,187.5,337.5
100,meat poultry and eggs,4050,3750,4725
100,nuts seeds and soy products,825,675,825
100,other vegetables,562.5,562.5,787.5
100,red and orange vegetables,405,712.5,975
100,seafood,2475,900,1500
100,seafood,600,1200,1425
100,starchy vegetables,502.5,675,975
100,seafood,2475,900,1500
100,seafood,600,1200,1425
100,seafood,600,1200,1425
101,dark green vegetables,127.5,225,337.5
101,legumes beans and peas,97.5,187.5,337.5
101,meat poultry and eggs,4050,3750,4725
101,nuts seeds and soy products,825,675,825
101,other vegetables,562.5,562.5,787.5
101,red and orange vegetables,405,712.5,975
101,seafood,2475,900,1500
101,seafood,600,1200,1425
101,starchy vegetables,502.5,675,975
101,seafood,2475,900,1500
101,seafood,600,1200,1425
101,seafood,600,1200,1425
102,dark green vegetables,127.5,225,337.5
102,legumes beans and peas,97.5,187.5,337.5
102,meat poultry and eggs,4050,3750,4725
102,nuts seeds and soy products,825,675,825
102,other vegetables,562.5,562.5,787.5
102,red and orange vegetables,405,712.5,975
102,seafood,2475,900,1500
102,seafood,600,1200,1425
102,starchy vegetables,502.5,675,975
102,seafood,2475,900,1500
102,seafood,600,1200,1425
102,seafood,600,1200,1425
103,dark green vegetables,127.5,225,337.5
103,legumes beans and peas,97.5,187.5,337.5
103,meat poultry and eggs,4050,3750,4725
103,nuts seeds and soy products,825,675,825
103,other vegetables,562.5,562.5,787.5
103,red and orange vegetables,405,712.5,975
103,seafood,2475,900,1500
103,seafood,600,1200,1425
103,starchy vegetables,502.5,675,975
103,seafood,2475,900,1500
103,seafood,600,1200,1425
103,seafood,600,1200,1425
104,dark green vegetables,127.5,225,337.5
104,legumes beans and peas,97.5,187.5,337.5
104,meat poultry and eggs,4050,3750,4725
104,nuts seeds and soy products,825,675,825
104,other vegetables,562.5,562.5,787.5
104,red and orange vegetables,405,712.5,975
104,seafood,2475,900,1500
104,seafood,600,1200,1425
104,starchy vegetables,502.5,675,975
104,seafood,2475,900,1500
104,seafood,600,1200,1425
104,seafood,600,1200,1425
105,dark green vegetables,127.5,225,337.5
105,legumes beans and peas,97.5,187.5,337.5
105,meat poultry and eggs,4050,3750,4725
105,nuts seeds and soy products,825,675,825
105,other vegetables,562.5,562.5,787.5
105,red and orange vegetables,405,712.5,975
105,seafood,2475,900,1500
105,seafood,600,1200,1425
105,starchy vegetables,502.5,675,975
105,seafood,2475,900,1500
105,seafood,600,1200,1425
105,seafood,600,1200,1425
106,dark green vegetables,127.5,225,337.5
106,legumes beans and peas,97.5,187.5,337.5
106,meat poultry and eggs,4050,3750,4725
106,nuts seeds and soy products,825,675,825
106,other vegetables,562.5,562.5,787.5
106,red and orange vegetables,405,712.5,975
106,seafood,2475,900,1500
106,seafood,600,1200,1425
106,starchy vegetables,502.5,675,975
106,seafood,2475,900,1500
106,seafood,600,1200,1425
106,seafood,600,1200,1425
107,dark green vegetables,127.5,225,337.5
107,legumes beans and peas,97.5,187.5,337.5
107,meat poultry and eggs,4050,3750,4725
107,nuts seeds and soy products,825,675,825
107,other vegetables,562.5,562.5,787.5
107,red and orange vegetables,405,712.5,975
107,seafood,2475,900,1500
107,seafood,600,1200,1425
107,starchy vegetables,502.5,675,975
107,seafood,2475,900,1500
107,seafood,600,1200,1425
107,seafood,600,1200,1425
108,dark green vegetables,127.5,225,337.5
108,legumes beans and peas,97.5,187.5,337.5
108,meat poultry and eggs,4050,3750,4725
108,nuts seeds and soy products,825,675,825
108,other vegetables,562.5,562.5,787.5
108,red and orange vegetables,405,712.5,975
108,seafood,2475,900,1500
108,seafood,600,1200,1425
108,starchy vegetables,502.5,675,975
108,seafood,2475,900,1500
108,seafood,600,1200,1425
108,seafood,600,1200,1425
109,dark green vegetables,127.5,225,337.5
109,legumes beans and peas,97.5,187.5,337.5
109,meat poultry and eggs,4050,3750,4725
109,nuts seeds and soy products,825,675,825
109,other vegetables,562.5,562.5,787.5
109,red and orange vegetables,405,712.5,975
109,seafood,2475,900,1500
109,seafood,600,1200,1425
109,starchy vegetables,502.5,675,975
109,seafood,2475,900,1500
109,seafood,600,1200,1425
109,seafood,600,1200,1425
110,dark green vegetables,127.5,225,337.5
110,legumes beans and peas,97.5,187.5,337.5
110,meat poultry and eggs,4050,3750,4725
110,nuts seeds and soy products,825,675,825
110,other vegetables,562.5,562.5,787.5
110,red and orange vegetables,405,712.5,975
110,seafood,2475,900,1500
110,seafood,600,1200,1425
110,starchy vegetables,502.5,675,975
110,seafood,2475,900,1500
110,seafood,600,1200,1425
110,seafood,600,1200,1425
111,dark green vegetables,127.5,225,337.5
111,legumes beans and peas,97.5,187.5,337.5
111,meat poultry and eggs,4050,3750,4725
111,nuts seeds and soy products,825,675,825
111,other vegetables,562.5,562.5,787.5
111,red and orange vegetables,405,712.5,975
111,seafood,2475,900,1500
111,seafood,600,1200,1425
111,starchy vegetables,502.5,675,975
111,seafood,2475,900,1500
111,seafood,600,1200,1425
111,seafood,600,1200,1425
112,dark green vegetables,127.5,225,337.5
112,legumes beans and peas,97.5,187.5,337.5
112,meat poultry and eggs,4050,3750,4725
112,nuts seeds and soy products,825,675,825
112,other vegetables,562.5,562.5,787.5
112,red and orange vegetables,405,712.5,975
112,seafood,2475,900,1500
112,seafood,600,1200,1425
112,starchy vegetables,502.5,675,975
112,seafood,2475,900,1500
112,seafood,600,1200,1425
112,seafood,600,1200,1425
113,dark green vegetables,127.5,225,337.5
113,legumes beans and peas,97.5,187.5,337.5
113,meat poultry and eggs,4050,3750,4725
113,nuts seeds and soy products,825,675,825
113,other vegetables,562.5,562.5,787.5
113,red and orange vegetables,405,712.5,975
113,seafood,2475,900,1500
113,seafood,600,1200,1425
113,starchy vegetables,502.5,675,975
113,seafood,2475,900,1500
113,seafood,600,1200,1425
113,seafood,600,1200,1425
114,dark green vegetables,127.5,225,337.5
114,legumes beans and peas,97.5,187.5,337.5
114,meat poultry and eggs,4050,3750,4725
114,nuts seeds and soy products,825,675,825
114,other vegetables,562.5,562.5,787.5
114,red and orange vegetables,405,712.5,975
114,seafood,2475,900,1500
114,seafood,600,1200,1425
114,starchy vegetables,502.5,675,975
114,seafood,2475,900,1500
114,seafood,600,1200,1425
114,seafood,600,1200,1425
115,dark green vegetables,127.5,225,337.5
115,legumes beans and peas,97.5,187.5,337.5
115,meat poultry and eggs,4050,3750,4725
115,nuts seeds and soy products,825,675,825
115,other vegetables,562.5,562.5,787.5
115,red and orange vegetables,405,712.5,975
115,seafood,2475,900,1500
115,seafood,600,1200,1425
115,starchy vegetables,502.5,675,975
115,seafood,2475,900,1500
115,seafood,600,1200,1425
115,seafood,600,1200,1425
116,dark green vegetables,127.5,225,337.5
116,legumes beans and peas,97.5,187.5,337.5
116,meat poultry and eggs,4050,3750,4725
116,nuts seeds and soy products,825,675,825
116,other vegetables,562.5,562.5,787.5
116,red and orange vegetables,405,712.5,975
116,seafood,2475,900,1500
116,seafood,600,1200,1425
116,starchy vegetables,502.5,675,975
116,seafood,2475,900,1500
116,seafood,600,1200,1425
116,seafood,600,1200,1425
117,dark green vegetables,127.5,225,337.5
117,legumes beans and peas,97.5,187.5,337.5
117,meat poultry and eggs,4050,3750,4725
117,nuts seeds and soy products,825,675,825
117,other vegetables,562.5,562.5,787.5
117,red and orange vegetables,405,712.5,975
117,seafood,2475,900,1500
117,seafood,600,1200,1425
117,starchy vegetables,502.5,675,975
117,seafood,2475,900,1500
117,seafood,600,1200,1425
117,seafood,600,1200,1425
118,dark green vegetables,127.5,225,337.5
118,legumes beans and peas,97.5,187.5,337.5
118,meat poultry and eggs,4050,3750,4725
118,nuts seeds and soy products,825,675,825
118,other vegetables,562.5,562.5,787.5
118,red and orange vegetables,405,712.5,975
118,seafood,2475,900,1500
118,seafood,600,1200,1425
118,starchy vegetables,502.5,675,975
118,seafood,2475,900,1500
118,seafood,600,1200,1425
118,seafood,600,1200,1425
119,dark green vegetables,127.5,225,337.5
119,legumes beans and peas,97.5,187.5,337.5
119,meat poultry and eggs,4050,3750,4725
119,nuts seeds and soy products,825,675,825
119,other vegetables,562.5,562.5,787.5
119,red and orange vegetables,405,712.5,975
119,seafood,2475,900,1500
119,seafood,600,1200,1425
119,starchy vegetables,502.5,675,975
119,seafood,2475,900,1500
119,seafood,600,1200,1425
119,seafood,600,1200,1425
120,dark green vegetables,127.5,225,337.5
120,legumes beans and peas,97.5,187.5,337.5
120,meat poultry and eggs,4050,3750,4725
120,nuts seeds and soy products,825,675,825
120,other vegetables,562.5,562.5,787.5
120,red and orange vegetables,405,712.5,975
120,seafood,2475,900,1500
120,seafood,600,1200,1425
120,starchy vegetables,502.5,675,975
120,seafood,2475,900,1500
120,seafood,600,1200,1425
120,seafood,600,1200,1425
